px_1;px_3;px_2;D_23;angle_2;setPx3;v_f;pz_3;pz_2;pz_1;py_1;py_2;py_3;v_cruise;vy3;p_12;vy1;d_2;d_3;d_1;setPx2;vy2;v3;setPx1;phi_2;angle_3;phi_1;angle_1;setPy3;phi_3;v1;CY;CX;i;k;setPy1;v2;D_12;setPy2;T_Z;R;vx2;vx1;p_23;vx3;k_f;
-0.337601393461;1.03080809116;-0.00805960223079;4.71238898038;0.740927760705;0.950651257102;0.5;0.264419645071;0.26503264904;0.265488892794;0.440819084644;0.709333956242;-0.332010775805;0.5;-0.26995706626;5.68153334997;0.611761001621;0.652954046736;0.8378533966;0.748325250654;-0.000854856507642;0.0787582731818;0.845806492235;-0.295081715888;-0.59883887529;4.38753417161;-1.2004908325;0.607387589285;-0.359006482431;2.21325162708;0.745012631566;0.17;0.36;0;5.0;0.501995184806;0.106741283898;4.71238898038;0.71720978356;0.3;0.7;0.0720474572315;0.425196775728;2.81209050237;-0.801568340619;1;
-0.337442815304;1.03102767467;-0.00793099030852;4.71238898038;0.740803435731;0.950864067575;0.5;0.268644094467;0.268477469683;0.268791943789;0.440868973732;0.709345757961;-0.331913530827;0.5;-0.269847360399;5.68149931364;0.611958002444;0.652891308152;0.837970961673;0.748195483513;-0.000728128188219;0.0787573411678;0.845835674493;-0.294952475238;-0.598665975627;4.38768264668;-1.20035196917;0.60691331768;-0.358898266866;2.21300170996;0.745007044697;0.17;0.36;1;5.0;0.502064773976;0.106727883237;4.71238898038;0.717221492078;0.3;0.7;0.072028621203;0.42490340066;2.81166768559;-0.801636071001;1;
-0.336657643318;1.03001534939;-0.00770903378725;4.71238898038;0.741075052028;0.949882727422;0.5;0.27301222086;0.272269517183;0.273721665144;0.441836416721;0.709467828274;-0.332261621952;0.5;-0.270621423364;5.68269915165;0.61221057293;0.65286711609;0.837369276545;0.747814756106;-0.000505263488057;0.0787243244038;0.845789373955;-0.294169170526;-0.59827976032;4.38669839923;-1.19876591585;0.606699432933;-0.359323764288;2.21405869734;0.745203876552;0.17;0.36;2;5.0;0.503057474014;0.106709652353;4.71238898038;0.717340260714;0.3;0.7;0.0720377029919;0.424884727921;2.81233845766;-0.801326219658;1;
-0.333770096302;1.02384340763;-0.00775224762037;4.71238898038;0.739692994477;0.943857463332;0.5;0.277490496635;0.275495231152;0.278251379728;0.445948809385;0.709165751934;-0.335189521313;0.5;-0.273311003834;5.68955154226;0.612724786074;0.652641880121;0.834208920055;0.746635581743;-0.000557717147739;0.0788418604668;0.845265658449;-0.291159406634;-0.598595161225;4.38312850371;-1.19222892614;0.607651929329;-0.362520621696;2.22130481728;0.746323489424;0.17;0.36;3;5.0;0.507221287993;0.106734089372;4.71238898038;0.717049937981;0.3;0.7;0.0719453047263;0.426106896678;2.8198999785;-0.799859442988;1;
-0.329884499311;1.01297986507;-0.00762639101595;4.71238898038;0.738783641846;0.933243076894;0.5;0.280554890633;0.278652369976;0.280931562185;0.451922237873;0.709012210369;-0.340411156416;0.5;-0.277764425597;5.69889951214;0.612741486081;0.652444117376;0.828795664073;0.745265570517;-0.000430721161122;0.0789985042534;0.844362845612;-0.287011389837;-0.598568406916;4.37718336902;-1.18285420196;0.610520076409;-0.368187598976;2.23425664278;0.747838538967;0.17;0.36;4;5.0;0.513196386481;0.106857522619;4.71238898038;0.716912060794;0.3;0.7;0.0719566985482;0.428731094742;2.8328250497;-0.797367881798;1;
-0.323444157839;0.998299658298;-0.0076125129126;4.71238898038;0.736735768589;0.91888557216;0.5;0.283128738403;0.282032728195;0.283904254436;0.462477833033;0.708587110043;-0.347633481026;0.5;-0.283031319103;5.71567120796;0.611688112712;0.652085143792;0.821809512273;0.74339706732;-0.000429543491792;0.079184197994;0.843069650331;-0.279956203835;-0.59891814941;4.37002455911;-1.16643224863;0.618037081171;-0.375936612936;2.25218265919;0.750521526391;0.17;0.36;5;5.0;0.523646644304;0.106909504638;4.71238898038;0.716505529842;0.3;0.7;0.0718296942081;0.434879540037;2.8511008086;-0.794140861382;1;
-0.317510902882;0.983017742634;-0.00743306381628;4.71238898038;0.735346767569;0.903869586377;0.5;0.285635977983;0.285108238459;0.286531955004;0.472890377045;0.708348453045;-0.355809152126;0.5;-0.286273472234;5.73169537872;0.609345654295;0.651786861851;0.815246203362;0.742134491874;-0.000252851143801;0.0793750818651;0.841662381711;-0.273264774003;-0.598897172373;4.36533530169;-1.15038710083;0.628045389479;-0.38443649935;2.27178004541;0.753043238124;0.17;0.36;6;5.0;0.533824942474;0.107032467146;4.71238898038;0.716285961231;0.3;0.7;0.0718021267248;0.442461288788;2.87067721779;-0.791481562566;1;
-0.311759978533;0.96899741888;-0.00731245987117;4.71238898038;0.733616156545;0.89002721035;0.5;0.288016796112;0.287960380316;0.289146244526;0.483495295048;0.708020687103;-0.36385461688;0.5;-0.28713265334;5.74805296395;0.605898804274;0.651448158281;0.809863326844;0.741310170425;-0.000140115473198;0.0795644439036;0.840282419276;-0.266617774266;-0.599027893987;4.3636534771;-1.13416023721;0.640322537481;-0.392567882214;2.2905387478;0.755576085931;0.17;0.36;7;5.0;0.544085175475;0.107120274225;4.71238898038;0.715977131494;0.3;0.7;0.0717234439797;0.451422042672;2.88956664179;-0.789702085302;1;
-0.30740404129;0.954941570759;-0.00736417807639;4.71238898038;0.731438749243;0.876121499433;0.5;0.290351808071;0.2904073596;0.291221529245;0.49156665802;0.707548439503;-0.372007459402;0.5;-0.287001434966;5.76088718082;0.602881236241;0.651087370593;0.804815232625;0.740832821817;-0.000193442987465;0.0798957120184;0.838826673423;-0.261535440403;-0.599502462081;4.36318888333;-1.12180058844;0.650392024146;-0.400707602899;2.30967005324;0.757534579902;0.17;0.36;8;5.0;0.551854781644;0.107355805481;4.71238898038;0.715538010705;0.3;0.7;0.0717073508892;0.458686008873;2.90917251532;-0.788200713254;1;
-0.301835745573;0.943080484867;-0.0072809914127;4.71238898038;0.729842291077;0.86435635594;0.5;0.292267262936;0.293076366186;0.29364490509;0.501148879528;0.707237422466;-0.378985077143;0.5;-0.285981977019;5.77598236214;0.599493865186;0.650783662019;0.800854210676;0.740058196719;-0.000119568663493;0.0800486714372;0.837576586773;-0.255154640333;-0.599666580238;4.36394065577;-1.10686952527;0.661602137627;-0.407583274845;2.32608571795;0.759806194393;0.17;0.36;9;5.0;0.561098266047;0.107407575981;4.71238898038;0.71524228961;0.3;0.7;0.0716142274921;0.466811052399;2.92575229819;-0.787241289269;1;
