px_1;px_3;px_2;D_23;angle_2;setPx3;v_f;pz_3;pz_2;pz_1;py_1;py_2;py_3;v_cruise;vy3;p_12;vy1;d_2;d_3;d_1;setPx2;vy2;v3;setPx1;phi_2;angle_3;phi_1;angle_1;setPy3;phi_3;v1;CY;CX;i;k;setPy1;v2;D_12;setPy2;T_Z;R;vx2;vx1;p_23;vx3;k_f;
-0.195803761482;1.05372309685;0.521420121193;4.71238898038;1.04984594128;0.966156252943;0.5;0.274762064219;0.275007218122;0.275615215302;-0.0763296112418;0.477881997824;-0.530465006828;0.5;-0.120804640603;4.38234390508;0.388196586977;0.476729695369;0.825307776013;0.631730282369;0.532784946093;0.0652141457145;0.883962089872;-0.204818654814;0.192960317289;4.57529726966;-1.70788108481;-0.228180522722;-0.542545470889;2.28480002956;0.398526561624;0.01;0.43;0;5.0;-0.0375099525441;0.131029803108;4.71238898038;0.484403412395;0.3;0.65;0.113648249002;-0.090148933321;2.09183971227;-0.875668439045;1;
-0.19568477571;1.05394291878;0.52151620388;4.71238898038;1.04945567191;0.966371376991;0.5;0.277953654528;0.278490126133;0.278906017542;-0.076312713325;0.477614879608;-0.530438482761;0.5;-0.120613162619;4.38203925425;0.388057706421;0.476485982169;0.825456552183;0.631610103653;0.532877601583;0.0652534329283;0.883982481776;-0.204720787164;0.193265726966;4.57551910858;-1.70788032596;-0.228775652249;-0.542499799023;2.28460135271;0.39843912184;0.01;0.43;1;5.0;-0.0375069426829;0.131019640836;4.71238898038;0.484140222901;0.3;0.65;0.113613977027;-0.0903601145412;2.09133562575;-0.875715417866;1;
-0.195870473981;1.05311095715;0.522038936615;4.71238898038;1.05156835583;0.965551971762;0.5;0.282723873854;0.281786382198;0.282130718231;-0.0758143141866;0.477927267551;-0.530432879925;0.5;-0.121607994309;4.38191106895;0.388147737794;0.476893167881;0.824824201039;0.631726164347;0.533413358579;0.0650090484843;0.883994398408;-0.204851428505;0.194215629333;4.57438487006;-1.7070586089;-0.227378466494;-0.542593679356;2.28525659833;0.398402335299;0.01;0.43;2;5.0;-0.0369995404072;0.1310111594;4.71238898038;0.4844281724;0.3;0.65;0.113744219644;-0.0898095452426;2.091040969;-0.875589853834;1;
-0.1971770823;1.04710149765;0.521966576576;4.71238898038;1.04969947521;0.959614475377;0.5;0.287520676851;0.284913986921;0.285920441151;-0.0733489915729;0.477225720882;-0.531964600086;0.5;-0.124954199611;4.38591682782;0.390057642153;0.476190849829;0.821303772151;0.632691193995;0.533337947224;0.0652738480088;0.883748526801;-0.205836077382;0.19435086242;4.57052246252;-1.70291761694;-0.218450218178;-0.544460020047;2.29145969009;0.399553230227;0.01;0.43;3;5.0;-0.0343432273575;0.13111629294;4.71238898038;0.483753105683;0.3;0.65;0.113713706476;-0.0865899508188;2.09710882767;-0.874870222732;1;
-0.199412539601;1.03694057465;0.521795094013;4.71238898038;1.04633520428;0.949571816523;0.5;0.290032237768;0.287557780743;0.288251578808;-0.0703006535769;0.4760004282;-0.534796476364;0.5;-0.130046231289;4.39099932758;0.392688165144;0.474955511987;0.815585717022;0.634514255137;0.533169240133;0.0657995078822;0.883313088244;-0.20754332113;0.194494846971;4.56462634094;-1.69769113263;-0.204169350618;-0.547801099493;2.30228991554;0.401017400958;0.01;0.43;4;5.0;-0.0310318370625;0.13140279766;4.71238898038;0.482580378988;0.3;0.65;0.113741461198;-0.0813078152917;2.10779506857;-0.873687581227;1;
-0.202860280871;1.02025735378;0.521947562695;4.71238898038;1.04354517742;0.933088419494;0.5;0.292068123817;0.290364980698;0.290787160397;-0.0651856511831;0.474649459124;-0.539470911026;0.5;-0.13836748292;4.39877838578;0.396634746368;0.473659660673;0.806425461998;0.637310769757;0.533345459572;0.0663620221005;0.882602895324;-0.210143812665;0.195361919018;4.55496752516;-1.68904500238;-0.18160989948;-0.553307659318;2.32042364342;0.403266792044;0.01;0.43;5;5.0;-0.0255221765464;0.131890573201;4.71238898038;0.481285661334;0.3;0.65;0.11397896877;-0.0728353179388;2.1250617244;-0.871689342888;1;
-0.206995815039;1.00171101093;0.521848857403;4.71238898038;1.03910222645;0.914754321785;0.5;0.294224798679;0.292954146862;0.293612480164;-0.0592891126871;0.472858309746;-0.545215010643;0.5;-0.146037793473;4.40814657401;0.401149950732;0.471883489335;0.796942399465;0.640753189234;0.533267322209;0.0671628343565;0.881744643243;-0.213245425651;0.195893561045;4.54599858739;-1.67914517213;-0.154549998234;-0.55981878999;2.34155748482;0.405988973068;0.01;0.43;6;5.0;-0.0191741176139;0.132472563847;4.71238898038;0.479574593181;0.3;0.65;0.114184648064;-0.0624961061208;2.14566392378;-0.869566891484;1;
-0.210680499673;0.981873512268;0.5220708251;4.71238898038;1.03607855118;0.895130533077;0.5;0.296599328518;0.295551329851;0.296118408442;-0.0540980659425;0.471297502518;-0.551703512669;0.5;-0.152884588002;4.41567169197;0.404725140568;0.470396027474;0.787448544152;0.643878920853;0.533535676312;0.0679031045414;0.880799716812;-0.215984565439;0.197002249854;4.53793061815;-1.67051136535;-0.130310883737;-0.566991971469;2.36502167041;0.408185926721;0.01;0.43;7;5.0;-0.0136255518857;0.13324831308;4.71238898038;0.478087812972;0.3;0.65;0.114648512125;-0.0530406576652;2.16801942055;-0.867429791907;1;
-0.213409334421;0.968308866024;0.522197306156;4.71238898038;1.03297995985;0.881692998069;0.5;0.298192948103;0.297885507345;0.298018395901;-0.0502117425203;0.469797044992;-0.556493341923;0.5;-0.15616294897;4.42118540781;0.407224389004;0.468949534434;0.781467300457;0.646220570361;0.533687647258;0.0685358919563;0.880123698569;-0.217997887541;0.197893006479;4.53401157861;-1.66410689289;-0.112205465371;-0.57210963682;2.38169983756;0.409801396987;0.01;0.43;8;5.0;-0.00948930361995;0.133790740897;4.71238898038;0.476650634188;0.3;0.65;0.114903411018;-0.0458855311973;2.18380683108;-0.866158679545;1;
-0.216325059533;0.953493952751;0.522620975971;4.71238898038;1.03131301017;0.867008491141;0.5;0.300074398518;0.300434887409;0.300426959991;-0.045385569334;0.468568623066;-0.561751961708;0.5;-0.159183862732;4.42760757992;0.409947458278;0.46782884397;0.775207213772;0.648693798237;0.534148732148;0.0690198469006;0.879382174684;-0.220107878718;0.199297181987;4.53036768906;-1.65628054527;-0.092015134435;-0.577670347981;2.40022735555;0.411689070352;0.01;0.43;9;5.0;-0.00439082350622;0.134360170863;4.71238898038;0.475470607756;0.3;0.65;0.115277561772;-0.0378281918502;2.20093017356;-0.864854616105;1;
