px_1;px_3;px_2;D_23;angle_2;setPx3;v_f;pz_3;pz_2;pz_1;py_1;py_2;py_3;v_cruise;vy3;p_12;vy1;d_2;d_3;d_1;setPx2;vy2;v3;setPx1;phi_2;angle_3;phi_1;angle_1;setPy3;phi_3;v1;CY;CX;i;k;setPy1;v2;D_12;setPy2;T_Z;R;vx2;vx1;p_23;vx3;k_f;
4.99224042892;-0.00911159068346;-5.00744819641;4.71238898038;1.52518652457;-0.0112230160333;0.5;1.62735104561;1.64241814613;1.64255416393;0.00159332319163;-0.00539952749386;-5.00565576553;0.5;0.498503467749;3.14043378061;-0.0080445304528;5.0084522849;5.00666597636;4.99124046419;-4.92553799478;0.0373850079971;0.498950417435;4.97422365878;-1.57207407267;-0.0423299782791;1.5706774539;4.6677683808;-4.95580541876;-3.13957302664;0.180347207077;0.001;0.001;0;5.0;0.000788870146348;0.819954725511;4.71238898038;-0.00166102669415;1.5;0.5;0.819102016275;-0.180167701407;4.71568635321;-0.0211142534988;1;
4.99274301529;-0.00890856143087;-5.00730514526;4.71238898038;1.52507541731;-0.0110114887029;0.5;1.65158081055;1.66095435619;1.66176652908;0.00192453269847;-0.00499938055873;-5.00505781174;0.5;0.498418321436;3.1401802573;-0.00802024197158;5.00931003529;5.00706969462;4.99074301586;-4.9253905011;0.0374782388082;0.498861757859;4.97472846382;-1.57219360163;-0.0421670042913;1.57081144825;4.66789745211;-4.95521597959;-3.13941402003;0.180323960546;0.002;0.002;1;5.0;0.00112250850131;0.820003360494;4.71238898038;-0.00125155667791;1.5;0.5;0.819146441631;-0.180145514698;4.71596488877;-0.0210292727198;1;
4.99304676056;-0.0087555097416;-5.00699281693;4.71238898038;1.52497294847;-0.0108494072102;0.5;1.6683177948;1.67107951641;1.67413306236;0.00215716497041;-0.00454756477848;-5.00454330444;0.5;0.49833350878;3.13991724938;-0.00799271146705;5.00999850213;5.00755710281;4.99004683174;-4.92507361816;0.0375644404338;0.498773221648;4.97503450016;-1.57230282777;-0.0419932930149;1.57096523003;4.66804434222;-4.95470995357;-3.13924509763;0.180299849975;0.003;0.003;2;5.0;0.00135789382371;0.820052803068;4.71238898038;-0.000791120735093;1.5;0.5;0.819191987653;-0.18012260398;4.71624303732;-0.0209389746858;1;
4.99307394028;-0.00833753217012;-5.00472545624;4.71238898038;1.52488420104;-0.0104257804465;0.5;1.6700502634;1.67485439777;1.67378985882;0.00233116233721;-0.00392788462341;-5.00268173218;0.5;0.498274403659;3.1396663406;-0.00796198694404;5.00873173042;5.00669693331;4.98907137359;-4.92280254181;0.0376390019168;0.498711799968;4.97506098463;-1.57237914024;-0.0418850925875;1.57113982634;4.66820927868;-4.95285429181;-3.13912844519;0.180276853913;0.004;0.004;3;5.0;0.00149005759657;0.820093339369;4.71238898038;-0.000163984431725;1.5;0.5;0.819229144264;-0.180100946196;4.71643600223;-0.020882482764;1;
4.99278259277;-0.00821547862142;-4.9995098114;4.71238898038;1.52475197944;-0.0102954717186;0.5;1.66741716862;1.67435503006;1.67579066753;0.00264123943634;-0.00337560637854;-4.99987411499;0.5;0.498192762148;3.13944613579;-0.00794009029584;5.00451682015;5.00489156284;4.98778315051;-4.91758295165;0.037749368905;0.498626779651;4.97477442122;-1.57246993697;-0.0417265354635;1.57126923441;4.66832592322;-4.95005483878;-3.13895213804;0.180256676209;0.005;0.005;4;5.0;0.00184723040676;0.820137823585;4.71238898038;0.000399330511963;1.5;0.5;0.819268597483;-0.180081715574;4.71670310611;-0.0207999309715;1;
4.99249601364;-0.00817244686186;-4.99975442886;4.71238898038;1.52462252445;-0.0102429638097;0.5;1.66798138618;1.68038475513;1.67442178726;0.00281080440618;-0.00308704469353;-4.9978094101;0.5;0.498090458551;3.1391377695;-0.0079111340402;5.0057626768;5.00382948059;4.98649703349;-4.91782220827;0.0378581301877;0.498520620378;4.9744905423;-1.57261164451;-0.0415451759155;1.57143589317;4.66847983199;-4.94800036424;-3.13876032969;0.180228426893;0.006;0.006;5;5.0;0.00201969100216;0.820196388208;4.71238898038;0.000698768325236;1.5;0.5;0.819322205977;-0.180054713403;4.717036622;-0.0207051694788;1;
4.99097776413;-0.00796622689813;-4.99256753922;4.71238898038;1.52451294898;-0.0100294608699;0.5;1.66898417473;1.66712200642;1.66129231453;0.00294065941125;-0.00231912964955;-4.99486780167;0.5;0.49802706973;3.13891419071;-0.00788324223374;4.99957622458;5.00189019205;4.98397941725;-4.91063179818;0.0379497304783;0.498454266334;4.97297422012;-1.57266031179;-0.0414044725843;1.57161080468;4.66862976389;-4.94506509469;-3.13860053488;0.180207949859;0.007;0.007;6;5.0;0.00215233518788;0.820235788004;4.71238898038;0.00147584339828;1.5;0.5;0.81935741034;-0.180035440079;4.71724508409;-0.020632339718;1;
4.99221372604;-0.00754154473543;-4.98960399628;4.71238898038;1.52444778867;-0.00959921996493;0.5;1.66247344017;1.65951287746;1.6555981636;0.00321584241465;-0.00154434912838;-4.9930357933;0.5;0.497977972691;3.13872300916;-0.00785588179337;4.9976131101;5.0010599422;4.98421602211;-4.90766529254;0.0380046089126;0.498402913335;4.97421181476;-1.57270610947;-0.0412971146121;1.57175618855;4.66877749652;-4.94323799604;-3.13848499843;0.180190443297;0.008;0.008;7;5.0;0.00243025423531;0.820267924131;4.71238898038;0.00225611176288;1.5;0.5;0.8193870374;-0.18001911281;4.71740641822;-0.020576752295;1;
4.99228286743;-0.00723739853129;-4.98765420914;4.71238898038;1.52439803307;-0.00928917460696;0.5;1.64588069916;1.65000486374;1.63895320892;0.00336908758618;-0.000744327902794;-4.98926973343;0.5;0.497922642478;3.13851252557;-0.00782608587278;4.99666371068;4.9982961078;4.98328604878;-4.90571212784;0.0380470340555;0.498345198029;4.97428275525;-1.57274649488;-0.0411834245166;1.57192628674;4.66893836147;-4.93947746918;-3.13834406112;0.180171172744;0.009;0.009;8;5.0;0.0025864789989;0.820303630064;4.71238898038;0.00306037550276;1.5;0.5;0.819420812951;-0.180001121851;4.71758774093;-0.0205177607567;1;
4.99251270294;-0.00680078240111;-4.9861664772;4.71238898038;1.52429062959;-0.00884760533265;0.5;1.63525855541;1.64163398743;1.63097262383;0.00355534511618;-0.000255977211054;-4.98620939255;0.5;0.49785564728;3.1382464331;-0.00779697762349;4.99617700377;4.99623764051;4.98251687087;-4.90422041176;0.038137087072;0.498276222531;4.97451490237;-1.57284909322;-0.0410896389235;1.57208978086;4.66909421591;-4.93642382782;-3.13822996044;0.180146816247;0.01;0.01;9;5.0;0.00277564735383;0.820347610233;4.71238898038;0.00355773149614;1.5;0.5;0.819460654458;-0.179978005722;4.71780443996;-0.0204682293153;1;
4.99035978317;-0.00695572094992;-4.97408914566;4.71238898038;1.52427804852;-0.00899403829722;0.5;1.61039793491;1.60905849934;1.59945070744;0.00355738401413;0.00125068565831;-4.97822952271;0.5;0.497814819743;3.13814226875;-0.00776598663462;4.98509867899;4.98926183299;4.97936534538;-4.89214091517;0.0381484269756;0.498231942489;4.97236280279;-1.57275201939;-0.0409224337995;1.57229101904;4.66926412498;-4.92844804073;-3.13799377257;0.180137283269;0.011;0.011;10;5.0;0.00278078535067;0.820369764546;4.71238898038;0.00506552835586;1.5;0.5;0.819482304934;-0.179969803787;4.717943554;-0.020383173473;1;
4.98825073242;-0.00739207584411;-4.96580410004;4.71238898038;1.52422212433;-0.00941889413574;0.5;1.58924746513;1.59095478058;1.57695233822;0.00341155054048;0.00234697316773;-4.97021007538;0.5;0.497731310323;3.13792755624;-0.00772910226052;4.97781345967;4.98224781477;4.97625814377;-4.88385161261;0.038196339358;0.498143811077;4.97025555981;-1.57273553825;-0.040698647356;1.57252221269;4.66946438704;-4.92043694435;-3.13770040946;0.180117635912;0.012;0.012;11;5.0;0.00263864031442;0.820414517071;4.71238898038;0.00616660710353;1.5;0.5;0.819524874229;-0.179951726151;4.71822043597;-0.0202681829163;1;
